0¦SELF¦1581427559856¦1581427560473¦1581427559776¦1581427559856¦1581427560473¦1581427560473¦hello¦Vlad30,Iines;¦ ⁰h ¹³⁸e ¹³¹l ¹⁷⁰l ¹⁷⁸o¦hello¦
0¦OTHER¦1581427564137¦1581427657551¦1581427656857¦1581427564137¦1581427657551¦1581427657551¦hellohello again!have you read th instructions¦Vlad30,Iines;¦ ⁰h ¹⁶e ²¹⁶l ¹⁶⁹l ¹⁸⁵o ⁷⁸³⁹⁵h ⁷⁰e ¹³¹l ¹⁵⁴l ¹³¹o ¹⁰⁰  ¹⁵a ¹⁵³g ¹⁰⁰a ⁸⁴i ²¹⁷n ³⁰⁰! ⁸⁰²³h ¹⁶a ¹³¹v ¹¹⁶e ⁶⁸  ¹¹⁶y ¹⁶o ¹⁰⁰u ²²  ¹¹³r ⁷⁹e ⁸⁵a ¹⁸⁴d ⁷⁹  ⁶⁹t ¹⁰⁰h ¹³¹  ²⁰¹i ¹³⁸n ¹⁶⁶⁶s ¹⁵⁴t ¹⁶⁹r ¹¹⁶u ⁴⁰⁰c ¹⁸⁵t ⁷⁸i ¹⁶o ²⁵⁴n ¹⁵³s¦hello▅▅▅▅▅▅▅hello again!▅▅▅▅have you read th in▅structions¦
0¦SELF¦1581427664659¦1581427677959¦1581427677271¦1581427664659¦1581427677959¦1581427677959¦Yes, I just finnishedNot easy¦Vlad30,Iines;¦ ⁰Y ³²⁴e ²⁰⁰s ¹⁰¹⁸, ¹⁴⁷  ²⁷⁰I ²⁰⁰  ¹⁸⁵j ¹⁴⁷u ¹²²s ¹⁰⁰t ²¹⁵  ¹⁶³f ²⁶⁹i ²³¹n ⁸¹⁸n ¹⁶⁹i ¹⁶⁹s ²³²h ¹³¹e ¹⁰⁵⁷d ⁵³⁴⁵N ²¹⁶o ²⁰⁷t ⁵⁷⁹  ¹⁶⁹e ²⁴⁷a ¹⁶⁹s ²⁰¹y¦Yes▅, I just finnishe▅d▅▅▅Not easy¦
0¦OTHER¦1581427680100¦1581427688935¦1581427688242¦1581427680100¦1581427688935¦1581427688935¦no hahaintits an interesting one!¦Vlad30,Iines;¦ ⁰n ¹⁶o ⁶³²  ¹¹⁷h ⁸⁴a ¹⁰⁰h ⁸⁵a ¹³⁴⁹i ¹⁷⁰n ¹⁰⁰t ¹⁶⁵⁶i ⁷⁹t ⁸⁷¹s ⁵¹⁷  ⁸⁵a ¹⁵³n ⁴⁶³  ²⁰¹i ¹⁸⁴n ¹¹⁶t ¹³⁸e ⁶²r ⁵³e ²⁰¹s ¹⁶t ¹⁶⁹i ¹³²n ⁸⁴g ⁶³  ¹⁶⁹o ⁶⁹n ⁸⁴e ⁶¹⁷!¦no haha▅int▅its an interesting one!¦
0¦SELF¦1581427691124¦1581427710127¦1581427709426¦1581427691124¦1581427710127¦1581427710127¦Yes. So, do you have any concrete thoughts regading who is expendible¦Vlad30,Iines;¦ ⁰Y ⁷⁴⁹e ³⁰¹s ¹⁴¹². ¹¹²¹  ⁵⁷⁵S ³³²o ⁵⁷², ¹⁶³  ¹⁵⁴d ¹⁴⁷o ¹⁸⁵  ²³¹y ²⁰⁰o ¹⁷⁰u ²¹⁵  ¹⁶⁹h ⁸⁵a ¹¹⁶v ¹¹⁶e ¹⁰⁰  ¹³⁸a ¹³²n ²⁶⁹y ¹²⁴⁸  ¹³²c ¹⁵³o ¹⁸⁵n ⁸⁰¹c ¹⁶³r ¹⁰⁰e ¹⁵⁴t ¹³¹e ²²⁰  ³¹⁶t ¹⁶⁹h ²⁷⁰o ²⁷³u ²⁶³g ¹⁵⁴h ²⁰⁰t ²³²s ⁵⁰²  ⁵⁵⁸r ¹³¹e ¹³¹g ¹⁴¹a ²⁹⁴d ²⁷³i ¹⁸⁵n ¹⁵⁴g ¹¹⁵  ⁴⁵⁰w ¹⁸⁴h ²⁷³o ²⁰⁵  ²⁰⁰i ¹³²s ¹³¹  ¹⁷⁰e ²⁰¹x ³⁵³p ¹⁴⁷e ¹⁵⁴n ²⁰⁰d ²⁷⁹i ²⁷⁰b ²¹⁶l ¹³⁸e¦Yes▅.▅ So, do you have any▅ concrete thoughts regading who is expendible¦
0¦OTHER¦1581427721161¦1581427740816¦1581427740126¦1581427721161¦1581427740816¦1581427740816¦not really yaeeti mean oall of them seem to be per*people you want to saev*save¦Vlad30,Iines;¦ ⁰n ²²o ¹⁰¹t ⁶²  ¹³⁷r ¹⁶e ¹⁰⁰a ⁸⁴l ¹⁴⁷l ¹⁶y ¹¹⁶  ¹³⁸y ¹⁰⁰a ¹⁶e ¹⁵e ⁶⁷¹t ⁴⁴³⁹i ¹³⁵  ¹³⁸m ⁷⁸e ³⁸a ¹⁸⁴n ⁴⁰¹  ⁴¹⁶o ⁴⁴⁸a ²¹⁶l ¹⁵⁴l ¹¹⁶  ³⁰⁰o ⁶⁹f ¹¹⁶  ³⁴⁹t ⁷⁰h ¹³¹e ⁶⁹m ¹¹⁶  ⁶⁹s ⁸⁴e ¹⁰⁰e ¹¹⁶m ¹⁴⁸  ⁸⁰¹t ¹⁰¹o ¹³⁸  ⁸⁰¹b ¹⁶³e ¹²²  ³¹⁶p ¹⁰⁰e ⁷⁸r ¹⁷¹⁰* ³³²p ²⁶⁷e ⁷o ⁴⁹⁹p ¹⁶l ⁰e ¹⁶  ¹⁸⁴y ¹⁶o ¹⁰⁰u ⁴⁷  ¹³⁸w ¹⁵a ⁵⁸⁶n ¹²⁰t ¹³¹  ⁷⁰t ⁸⁴o ¹⁰¹  ⁸⁴s ⁶²a ²¹⁶e ¹⁶v ¹²⁸⁷* ³⁰⁰s ¹²³a ¹⁴⁷v ¹²⁰e¦not really yaeet▅▅▅i mean oall of them seem to be per▅*people you want to saev▅*save¦
0¦SELF¦1581427743317¦1581427795046¦1581427794347¦1581427743317¦1581427795046¦1581427795046¦Yes. I agree.I mean, the logical thing would be age, but that is also difficult. We hasve*have a pregnant woman as well.¦Vlad30,Iines;¦ ⁰Y ⁶³⁴e ²⁵⁴s ¹¹⁰². ²⁰⁰  ²⁴⁸I ²⁰⁰  ¹⁵⁴a ¹⁰⁰g ²¹⁷r ¹³¹e ²⁰¹e ¹¹²⁴. ⁹³⁷³I ⁸³⁴  ¹⁸⁴m ¹³²e ²³⁸a ¹³²n ⁷⁵⁴, ²⁴⁸  ¹⁵⁴t ¹¹⁵h ¹⁷⁵⁶e ¹⁹³⁸  ³⁵⁸l ²⁶³o ²⁸⁵g ³²⁰i ³⁶⁹c ¹⁴⁷a ¹⁵³l ²¹⁶  ¹³²t ¹²²h ²⁴⁸i ²³²n ²⁰⁰g ¹⁸⁵  ²³⁸w ¹⁶²o ²¹⁶u ¹⁸⁵l ¹³⁸d ¹⁰¹  ¹⁶²b ¹⁰⁴e ¹⁹⁶²  ²⁸⁵a ¹³¹g ¹⁸⁶e ²⁹⁹¹, ¹⁷⁸  ¹⁸⁵b ²⁰⁰u ¹⁶⁸t ¹²⁹  ¹⁶⁹t ¹⁸⁵h ⁷³⁸a ¹⁶⁹t ⁹¹⁸  ¹⁷⁸⁹i ²⁰⁰s ¹⁰⁰  ¹¹⁵a ¹³²l ¹²³s ¹¹⁵o ⁴¹⁷  ¹⁸⁵d ¹⁴⁷i ²⁵⁴f ¹⁰⁰f ¹⁰¹i ¹⁶⁶c ¹⁸⁵u ²³¹l ¹²⁷t ²⁸⁵. ²⁰⁰  ²⁷⁹W ¹⁵³e ²³²  ²⁷⁰h ¹³¹a ⁰s ¹³⁸v ¹¹⁵e ²⁷²³* ⁶⁸⁹h ¹¹⁶a ¹¹⁵v ¹⁰⁰e ¹⁰⁰  ¹³²a ¹¹⁸⁷  ³⁰¹p ¹¹⁵r ¹⁷⁰e ⁵³³g ²⁵⁴n ¹⁴⁷a ²⁵⁴n ²⁰¹t ¹³¹  ³⁸⁶w ²⁰⁰o ²³²m ⁶³⁹a ¹¹⁶n ²³¹  ¹³²a ¹⁴²s ²⁴⁷  ¹⁵³w ¹⁷⁸e ¹⁸⁵l ¹²³l ¹⁶⁵⁴.¦Yes▅. I agree▅.▅▅▅▅I mean, th▅e▅ logical thing would be▅ age▅▅, but that ▅is also difficult. We hasve▅▅*have a▅ pregnant woman as well▅.¦
0¦OTHER¦1581427797716¦1581427808322¦1581427807631¦1581427797716¦1581427808322¦1581427808322¦yeah, i think she shouldbt be thrown uoout al*at least¦Vlad30,Iines;¦ ⁰y ⁰e ¹⁰⁰a ¹³¹h ²³², ⁸⁶  ¹⁵³i ¹¹⁶  ¹³¹t ¹⁶h ¹¹⁶i ¹⁰⁰n ¹⁷⁰k ⁸⁴  ²¹⁷s ¹³¹h ⁶⁹e ¹¹⁶  ⁸⁵s ⁶⁹h ⁸⁴o ⁶²u ¹¹⁶l ¹⁰¹d ³⁸⁴b ⁵⁵³t ⁴⁶⁴  ¹¹⁶b ¹⁵³e ¹³²  ²⁰⁰t ¹⁶⁹h ¹³¹r ⁸⁵o ²¹⁵w ¹⁰¹n ¹⁵⁴  ²⁸⁶u ¹⁵o ¹⁴⁵⁵o ²²u ⁴⁷⁹t ²³⁸  ²¹⁶a ⁶⁸l ¹⁰⁶⁵* ³³⁸a ⁶³t ⁴³⁸  ¹³²l ¹⁰⁰e ¹⁰¹a ¹⁸⁵s ⁶³t¦yeah, i think she shouldbt be thrown uo▅out al▅*at least¦
0¦SELF¦1581427813514¦1581427817755¦1581427817059¦1581427813514¦1581427817755¦1581427817755¦YI¦Vlad30,Iines;¦ ⁰Y ⁴²⁴¹I¦Y▅▅▅I¦
0¦OTHER¦1581427817909¦1581427817909¦1581427817213¦1581427817909¦1581427817909¦1581427817909¦t¦Vlad30,Iines;¦ ⁰t¦t¦
0¦SELF¦1581427817956¦1581427817956¦1581427817251¦1581427817956¦1581427817956¦1581427817956¦ ¦Vlad30,Iines;¦ ⁰ ¦ ¦
